testName,variableName,result
1B,avgReactionTime,820.9025638048039
1B,avgCorrectReactionTime,826.4958063761393
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,994.6866989135742
2B,avgCorrectReactionTime,1011.440760559506
2B,avgIncorrectReactionTime,1116.8007850646973
2B,responseAccuracy,94.73684210526315
3B,avgReactionTime,2452.926573929963
3B,avgCorrectReactionTime,2671.002897349271
3B,avgIncorrectReactionTime,2267.336368560791
3B,responseAccuracy,91.66666666666666
4Choice,avgReactionTime,461.7223262786865
4Choice,avgCorrectReactionTime,464.1344363872821
4Choice,avgIncorrectReactionTime,367.650032043457
4Choice,responseAccuracy,97.5
OCL,avgReactionTime,1694.1803235274097
OCL,avgCorrectReactionTime,1653.4261107444763
OCL,avgIncorrectReactionTime,1934.6792499224346
OCL,responseAccuracy,81.25
SportRT,responseAccuracy,98.0
SportRT,avgReactionTime,-30.69
SportRT,avgCorrectReactionTime,-36.3469387755102
SportRT,avgIncorrectReactionTime,246.5
SRT,avgReactionTime,322.4432706832886
SRT,avgCorrectReactionTime,322.4432706832886
SRT,responseAccuracy,100.0
