testName,variableName,result
1B,avgReactionTime,1536.1427910187665
1B,avgCorrectReactionTime,1544.2236987027256
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,1908.9018682580645
2B,avgCorrectReactionTime,1891.6615713478259
2B,avgIncorrectReactionTime,2106.789549166667
2B,responseAccuracy,79.3103448275862
4Choice,avgReactionTime,469.0269351005554
4Choice,avgCorrectReactionTime,469.0269351005554
4Choice,avgIncorrectReactionTime,
4Choice,responseAccuracy,100.0
OCL,avgReactionTime,2097.639254548333
OCL,avgCorrectReactionTime,1876.5000937736197
OCL,avgIncorrectReactionTime,3288.797037942069
OCL,responseAccuracy,83.9080459770115
SportRT,responseAccuracy,97.0
SportRT,avgReactionTime,66.09
SportRT,avgCorrectReactionTime,91.87628865979381
SportRT,avgIncorrectReactionTime,-767.6666666666666
SRT,avgReactionTime,305.2331209182739
SRT,avgCorrectReactionTime,305.2331209182739
SRT,responseAccuracy,100.0
