testName,variableName,result
1B,avgReactionTime,608.5466509279997
1B,avgCorrectReactionTime,612.0931360456678
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,792.4437633780545
2B,avgCorrectReactionTime,806.6869735717773
2B,avgIncorrectReactionTime,885.8630657196045
2B,responseAccuracy,97.5609756097561
3B,avgReactionTime,912.6108041623744
3B,avgCorrectReactionTime,876.795083284378
3B,avgIncorrectReactionTime,965.3989473978678
3B,responseAccuracy,84.21052631578947
4Choice,avgReactionTime,358.2558751106262
4Choice,avgCorrectReactionTime,359.0416823114668
4Choice,avgIncorrectReactionTime,356.4223249753316
4Choice,responseAccuracy,70.0
OCL,avgReactionTime,892.7577662180705
OCL,avgCorrectReactionTime,863.3381340601672
OCL,avgIncorrectReactionTime,1160.0511868794758
OCL,responseAccuracy,89.02439024390245
SportRT,responseAccuracy,99.0
SportRT,avgReactionTime,-126.54
SportRT,avgCorrectReactionTime,-123.52525252525253
SportRT,avgIncorrectReactionTime,-425.0
SRT,avgReactionTime,282.90711641311646
SRT,avgCorrectReactionTime,282.90711641311646
SRT,responseAccuracy,100.0
