testName,variableName,result
1B,avgReactionTime,1575.440210454604
1B,avgCorrectReactionTime,1580.6745832616634
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,2011.4372730255127
2B,avgCorrectReactionTime,2207.915739579634
2B,avgIncorrectReactionTime,1662.955681482951
2B,responseAccuracy,78.57142857142857
3B,avgReactionTime,2044.2605495452879
3B,avgCorrectReactionTime,2218.915893917992
3B,avgIncorrectReactionTime,1690.5356248219807
3B,responseAccuracy,77.77777777777779
4Choice,avgReactionTime,484.5111846923828
4Choice,avgCorrectReactionTime,486.6181581448286
4Choice,avgIncorrectReactionTime,402.339220046997
4Choice,responseAccuracy,97.5
OCL,avgReactionTime,1489.4172488779263
OCL,avgCorrectReactionTime,1391.799943787711
OCL,avgIncorrectReactionTime,1907.449464003245
OCL,responseAccuracy,82.35294117647058
SportRT,responseAccuracy,97.0
SportRT,avgReactionTime,-61.67
SportRT,avgCorrectReactionTime,-36.29896907216495
SportRT,avgIncorrectReactionTime,-882.0
SRT,avgReactionTime,249.8578906059265
SRT,avgCorrectReactionTime,249.8578906059265
SRT,responseAccuracy,100.0
