testName,variableName,result
1B,avgReactionTime,1265.6153666006553
1B,avgCorrectReactionTime,1279.0104813045925
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,1543.4286033405976
2B,avgCorrectReactionTime,1395.9156916691707
2B,avgIncorrectReactionTime,2431.390126546224
2B,responseAccuracy,81.25
3B,avgReactionTime,1949.4899319064232
3B,avgCorrectReactionTime,2065.0038623809814
3B,avgIncorrectReactionTime,1404.4748942057292
3B,responseAccuracy,89.28571428571429
4Choice,avgReactionTime,459.9306344985962
4Choice,avgCorrectReactionTime,459.9306344985962
4Choice,avgIncorrectReactionTime,
4Choice,responseAccuracy,100.0
OCL,avgReactionTime,1717.5907318408672
OCL,avgCorrectReactionTime,1650.1679505620684
OCL,avgIncorrectReactionTime,2143.176317214966
OCL,responseAccuracy,87.5
SportRT,responseAccuracy,97.0
SportRT,avgReactionTime,-122.87
SportRT,avgCorrectReactionTime,-122.05154639175258
SportRT,avgIncorrectReactionTime,-149.33333333333334
SRT,avgReactionTime,284.83874797821045
SRT,avgCorrectReactionTime,284.83874797821045
SRT,responseAccuracy,100.0
