testName,variableName,result
1B,avgReactionTime,670.9783183203804
1B,avgCorrectReactionTime,632.052597545442
1B,avgIncorrectReactionTime,1313.930630683899
1B,responseAccuracy,95.45454545454545
2B,avgReactionTime,881.5440450395856
2B,avgCorrectReactionTime,831.6885458456503
2B,avgIncorrectReactionTime,1347.1509615580242
2B,responseAccuracy,92.5
3B,avgReactionTime,1060.0565335689446
3B,avgCorrectReactionTime,1075.9788853781565
3B,avgIncorrectReactionTime,1104.781150817871
3B,responseAccuracy,97.22222222222221
4Choice,avgReactionTime,394.6108281612396
4Choice,avgCorrectReactionTime,394.6108281612396
4Choice,avgIncorrectReactionTime,
4Choice,responseAccuracy,100.0
OCL,avgReactionTime,1937.9438454987571
OCL,avgCorrectReactionTime,1671.210527420044
OCL,avgIncorrectReactionTime,3124.027902429754
OCL,responseAccuracy,81.66666666666667
SportRT,responseAccuracy,94.0
SportRT,avgReactionTime,-205.3
SportRT,avgCorrectReactionTime,-179.03191489361703
SportRT,avgIncorrectReactionTime,-616.8333333333334
SRT,avgReactionTime,252.75298357009885
SRT,avgCorrectReactionTime,252.75298357009885
SRT,responseAccuracy,100.0
