testName,variableName,result
1B,avgReactionTime,859.560972168332
1B,avgCorrectReactionTime,867.4621814634742
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,1141.430200674595
2B,avgCorrectReactionTime,1153.9450919989386
2B,avgIncorrectReactionTime,1062.4359846115112
2B,responseAccuracy,89.1891891891892
3B,avgReactionTime,1303.5370852496173
3B,avgCorrectReactionTime,1316.047758891665
3B,avgIncorrectReactionTime,1170.0974941253662
3B,responseAccuracy,85.29411764705883
4Choice,avgReactionTime,431.30375146865845
4Choice,avgCorrectReactionTime,438.07497517815955
4Choice,avgIncorrectReactionTime,413.4523435072465
4Choice,responseAccuracy,72.5
OCL,avgReactionTime,1200.7933203379314
OCL,avgCorrectReactionTime,1149.6943005344324
OCL,avgIncorrectReactionTime,1388.215892455157
OCL,responseAccuracy,77.02702702702703
SportRT,responseAccuracy,97.0
SportRT,avgReactionTime,-89.15
SportRT,avgCorrectReactionTime,-77.64948453608247
SportRT,avgIncorrectReactionTime,-461.0
SRT,avgReactionTime,276.5185594558716
SRT,avgCorrectReactionTime,276.5185594558716
SRT,responseAccuracy,100.0
