testName,variableName,result
1B,avgReactionTime,815.9906753273898
1B,avgCorrectReactionTime,812.7681471052623
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,1396.1812257766724
2B,avgCorrectReactionTime,1409.4687354180119
2B,avgIncorrectReactionTime,1231.0740947723389
2B,responseAccuracy,91.17647058823529
3B,avgReactionTime,1174.752153848347
3B,avgCorrectReactionTime,1155.4189258151584
3B,avgIncorrectReactionTime,1271.953046321869
3B,responseAccuracy,77.14285714285715
4Choice,avgReactionTime,582.6667666435242
4Choice,avgCorrectReactionTime,586.1193339029948
4Choice,avgIncorrectReactionTime,448.0166435241699
4Choice,responseAccuracy,97.5
OCL,avgReactionTime,1096.4692505923183
OCL,avgCorrectReactionTime,1080.4152981988316
OCL,avgIncorrectReactionTime,1103.3862961663142
OCL,responseAccuracy,76.31578947368422
SportRT,responseAccuracy,99.0
SportRT,avgReactionTime,58.52
SportRT,avgCorrectReactionTime,61.08080808080808
SportRT,avgIncorrectReactionTime,-195.0
SRT,avgReactionTime,265.85752964019775
SRT,avgCorrectReactionTime,265.85752964019775
SRT,responseAccuracy,100.0
