testName,variableName,result
1B,avgReactionTime,597.2606980282328
1B,avgCorrectReactionTime,594.9688381618923
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,1536.8699676850263
2B,avgCorrectReactionTime,1625.752353668213
2B,avgIncorrectReactionTime,1250.1935618264336
2B,responseAccuracy,78.125
3B,avgReactionTime,2911.953229904175
3B,avgCorrectReactionTime,3468.1886120846398
3B,avgIncorrectReactionTime,1603.1809647878015
3B,responseAccuracy,86.36363636363636
4Choice,avgReactionTime,383.8463246822357
4Choice,avgCorrectReactionTime,383.75244996486566
4Choice,avgIncorrectReactionTime,387.5074386596679
4Choice,responseAccuracy,97.5
OCL,avgReactionTime,1184.944216410319
OCL,avgCorrectReactionTime,1134.7687163595426
OCL,avgIncorrectReactionTime,1369.6730772654216
OCL,responseAccuracy,79.72972972972973
SportRT,responseAccuracy,96.0
SportRT,avgReactionTime,-146.82
SportRT,avgCorrectReactionTime,-136.0625
SportRT,avgIncorrectReactionTime,-405.0
SRT,avgReactionTime,260.66741943359375
SRT,avgCorrectReactionTime,260.66741943359375
SRT,responseAccuracy,100.0
