testName,variableName,result
1B,avgReactionTime,578.7981266671038
1B,avgCorrectReactionTime,574.0087187808492
1B,avgIncorrectReactionTime,
1B,responseAccuracy,100.0
2B,avgReactionTime,1135.2737011053623
2B,avgCorrectReactionTime,1160.3998872968887
2B,avgIncorrectReactionTime,1001.8343925476074
2B,responseAccuracy,97.2972972972973
3B,avgReactionTime,3024.483064810435
3B,avgCorrectReactionTime,3296.9691000486673
3B,avgIncorrectReactionTime,2692.3090219497685
3B,responseAccuracy,90.47619047619048
4Choice,avgReactionTime,421.60027027130127
4Choice,avgCorrectReactionTime,421.60027027130127
4Choice,avgIncorrectReactionTime,
4Choice,responseAccuracy,100.0
OCL,avgReactionTime,1371.9209550132214
OCL,avgCorrectReactionTime,1360.2512569138498
OCL,avgIncorrectReactionTime,1501.2714266777039
OCL,responseAccuracy,94.28571428571428
SportRT,responseAccuracy,98.0
SportRT,avgReactionTime,-110.17
SportRT,avgCorrectReactionTime,-102.31632653061224
SportRT,avgIncorrectReactionTime,-495.0
SRT,avgReactionTime,264.61788415908813
SRT,avgCorrectReactionTime,264.61788415908813
SRT,responseAccuracy,100.0
